Leg angle [deg],Velocity [m/s]
0.0,0.41552893317786
0.0,0.4154884914009752
0.0,0.41543125534402214
0.0,0.4152513080123488
0.0,0.4152952084493325
0.0,0.4151850404564601
0.0,0.41524496129154065
0.0,0.415071708420945
0.0,0.4152914641563612
2.0,0.42019238714607116
2.0,0.4202303565812628
2.0,0.42024069827010063
2.0,0.42024529895988455
2.0,0.42025541933917754
2.0,0.4202740681073998
2.0,0.4202902978342332
2.0,0.4202976715238538
2.0,0.420302801418216
4.0,0.4141324660729003
4.0,0.41441780405598216
4.0,0.41453153372325835
4.0,0.4146700454105612
4.0,0.4149065146422811
4.0,0.41483728393506014
4.0,0.4149291152709207
4.0,0.4149785849928023
4.0,0.4146676332789949
6.0,0.40296371463612135
6.0,0.4043451752212978
6.0,0.405228374176201
6.0,0.4055760369972074
6.0,0.40569579786977455
6.0,0.40576808814980947
6.0,0.4058385794932316
6.0,0.4058627201740919
6.0,0.40586065141966043
8.0,0.40481345749657316
8.0,0.40560321732717314
8.0,0.40606715914339087
8.0,0.4036889439615227
8.0,0.4038428981288472
8.0,0.40391399986290033
8.0,0.40389999009781774
8.0,0.40391544772071486
8.0,0.403321266443493
10.0,0.39911755949664035
10.0,0.4006208248441765
10.0,0.40142994933602816
10.0,0.40179439021269175
10.0,0.40225591442117986
10.0,0.40233208032846024
10.0,0.402379270479887
10.0,0.4024035278178398
10.0,0.4024200234129555
12.0,0.38796260880861083
12.0,0.38782943088204375
12.0,0.38786697392490427
12.0,0.38798218275459184
12.0,0.38795335645190027
12.0,0.3879591859574771
12.0,0.38796321321208727
12.0,0.38796528073533854
12.0,0.3879664177001403
14.0,0.3733936184112569
14.0,0.373227529139267
14.0,0.3732137215416475
14.0,0.3732535036522467
14.0,0.3732898580655973
14.0,0.3732974141779287
14.0,0.3733047048353224
14.0,0.3733086284013786
14.0,0.37331106088503
16.0,0.35676543003638805
16.0,0.35513634230907337
16.0,0.3551538583164727
16.0,0.3551676203743105
16.0,0.35517916667846855
16.0,0.35518866388186304
16.0,0.35519425270076704
16.0,0.35519851641347044
16.0,0.35520225129245414
18.0,0.3526056756103009
18.0,0.3526097945648539
18.0,0.35261341950792263
18.0,0.3526165562255256
18.0,0.35261926307112956
18.0,0.35262143275017827
18.0,0.3526234409975765
18.0,0.35262519902836253
18.0,0.3526267599332352
20.0,0.34451630458782867
20.0,0.3446479719587402
20.0,0.3448271173505561
20.0,0.3451627262006506
20.0,0.345376873523077
20.0,0.34541971770130847
20.0,0.34546528801224713
20.0,0.34549877491711467
20.0,0.34558743921913454
22.0,0.3461269234338
22.0,0.34589439236954084
22.0,0.3458118459852319
22.0,0.3457224107680364
22.0,0.3441542678202847
22.0,0.3456572597724093
22.0,0.3440664834122972
22.0,0.3456079951013778
22.0,0.3440129119969306
24.0,0.341456585958987
24.0,0.34139576551794215
24.0,0.34155208319462427
24.0,0.3415861829754713
24.0,0.34144593341763024
24.0,0.3414800695669798
24.0,0.34151170447142476
24.0,0.34138612693823056
24.0,0.3411264132053545
26.0,0.33826304717594224
26.0,0.3382232953433362
26.0,0.3382211837088469
26.0,0.33822136404454
26.0,0.3381775477122688
26.0,0.3381837488402194
26.0,0.3381819070377324
26.0,0.33817807790405086
26.0,0.3381732735266393
28.0,0.3289355858986659
28.0,0.3289688809335246
28.0,0.3290076253680394
28.0,0.3290419364055912
28.0,0.3290435427214234
28.0,0.32904089909098355
28.0,0.3290405765210936
28.0,0.3290407486776571
28.0,0.32904131604703324
30.0,0.3267765986035229
30.0,0.3266782427457904
30.0,0.32662443085946613
30.0,0.32653686445146357
30.0,0.32651574848467074
30.0,0.3264991012070472
30.0,0.3263948742335208
30.0,0.3263369368477295
30.0,0.32626052845379944
