leg_angle [deg],velocity [m/s]
0.0,0.4400183705746367
0.0,0.4400969379817873
0.0,0.4401485717175143
0.0,0.4401515737953622
0.0,0.44015290688941133
2.0,0.4332472521421673
2.0,0.4335337546693208
2.0,0.4335209376128219
2.0,0.4335219019159018
2.0,0.4335294307097943
4.0,0.4279616797330297
4.0,0.427961801243285
4.0,0.42796180134393724
4.0,0.4279618015369683
4.0,0.42796180191998934
6.0,0.4192518998403891
6.0,0.41925311412260446
6.0,0.4192531481435318
6.0,0.41925314917244466
6.0,0.4192531491818407
8.0,0.4127531927144208
8.0,0.41271401615298736
8.0,0.4127134764587714
8.0,0.4127134063317287
8.0,0.412713396128523
10.0,0.39263254170620104
10.0,0.3927721764825213
10.0,0.39287726099685366
10.0,0.39293405746644156
10.0,0.3929657497553223
12.0,0.3825237686516095
12.0,0.38252608848808306
12.0,0.3825381978406065
12.0,0.381347344923581
12.0,0.38192800211490974
14.0,0.37603502570025504
14.0,0.3760386034236613
14.0,0.3760388640439793
14.0,0.3760388832943381
14.0,0.3760388847709748
16.0,0.37319368220937016
16.0,0.3731931554780244
16.0,0.37319294256325264
16.0,0.37319285250490647
16.0,0.3731928050648444
18.0,0.35397536561949783
18.0,0.3539813045905318
18.0,0.35377450584143216
18.0,0.3539783174181958
18.0,0.3537785471815867
20.0,0.34788399645170387
20.0,0.3479981269236546
20.0,0.34799227226182017
20.0,0.34799076022258507
20.0,0.3479904147631419
22.0,0.3453319847924162
22.0,0.3453356335084496
22.0,0.34533866811919695
22.0,0.3453411838409153
22.0,0.34534325422525036
24.0,0.33695678233182247
24.0,0.33720892012305204
24.0,0.3371874774139329
24.0,0.3371905136901255
24.0,0.3372186978101021
26.0,0.32897394037327665
26.0,0.3291143547886398
26.0,0.3290798118588546
26.0,0.32911019688670784
26.0,0.329123908508158
28.0,0.3196993983843254
28.0,0.3196589137384112
28.0,0.31967528019297253
28.0,0.31969848326260697
28.0,0.3197100647594656
30.0,0.31180011496881055
30.0,0.3119317923532518
30.0,0.3119218002504445
30.0,0.31191755494635226
30.0,0.3119479433118967
